Restaurant Name,Cuisines,Average Cost for two,Price range,Aggregate rating
Quiosque Chopp Brahma,"Bar Food, Brazilian",70,3,0.0
Apraz�_vel,Brazilian,300,4,4.7
Aconchego Carioca,"Brazilian, Bar Food",85,3,4.6
Garota de Ipanema,"Brazilian, Bar Food",80,3,4.3
Cantina Famiglia Mancini,"Italian, Pizza",250,4,4.5
Templo da Carne - Marcos Bassi,"Steak, BBQ",250,4,4.4
Gopala Hari,Indian,70,3,3.1
Jiquitaia,Brazilian,100,4,4.1
Skye - Hotel Unique,"Beverages, International",300,4,4.8
Les 3 Brasseurs,"French, Brazilian, Beverages",120,4,4.6
Red Steak & Burger,"Brazilian, Grill",75,3,3.9
Cantinho da Gula,Brazilian,55,2,0.0
Paris 6 Classique,French,200,4,3.4
Kawa Sushi,"Sushi, Japanese",120,4,3.5
A Figueira Rubaiyat,"BBQ, Grill, Brazilian",300,4,4.3
Kinoshita,Sushi,230,4,3.9
Meats,"Gourmet Fast Food, Burger",120,4,4.3
Paribar,"Brazilian, Italian",150,4,4.3
Terra�_o It��lia,Italian,400,4,4.4
Divino Fog��o,"Brazilian, Mineira",65,3,0.0
Super Grill,Brazilian,50,2,0.0
Esquina Mocot�_,"Brazilian, North Eastern",100,4,4.4
Veloso,"Brazilian, Bar Food, Beverages",70,3,4.6
Sainte Marie Gastronomia,"Lebanese, Arabian",120,4,4.1
Austin's BBQ and Oyster Bar,"BBQ, Burger, Seafood",25,2,3.3
BJ's Country Buffet,"American, BBQ",10,1,3.3
El Vaquero Mexican Restaurant,Mexican,0,1,3.4
Elements Coffee Co - Northwest,"Coffee and Tea, Sandwich",10,1,3.4
Chick-fil-A,Fast Food,10,1,3.5
Guang Zhou Chinese Restaurant,"Asian, Chinese, Vegetarian",10,1,3.9
Harvest Moon,"Pizza, Bar Food, Sandwich",25,2,3.7
Henry Campbell's Steakhouse,"Steak, Tapas, Bar Food",70,4,3.5
Hong Kong Cafe,"Chinese, Seafood, Vegetarian",25,2,3.6
House of China Restaurant II,Chinese,10,1,3.8
Locos Grill & Pub,"American, Burger, Sandwich",25,2,3.5
Longhorn Steakhouse,"American, Steak",25,2,3.5
Mikata Japanese Steakhouse,"Japanese, Steak, Sushi",40,3,3.6
Shogun Japanese Steak House,"Japanese, Steak, Sushi",40,3,3.5
The Catch Seafood Room & Oyster Bar,"Seafood, Tapas, Bar Food",40,3,3.8
Villa Gargano,"Italian, Pizza",10,1,3.7
3 Squares Diner,"American, Breakfast, Diner",10,1,3.4
Whitebull Hotel,"Bar Food, Steak",20,2,3.5
Last Resort Grill,"American, Southern, Southwestern",40,3,4.5
Mama's Boy Restaurant,Southern,10,1,4.5
Sr. Sol 1,Mexican,10,1,4.6
Choo Choo Eastside,"Japanese, Korean",10,1,3.9
The Grill,"Breakfast, Burger, Sandwich",10,1,3.7
Big City Bread Cafe,"Breakfast, Sandwich",10,1,4.3
Clocked,"American, Burger, Sandwich",10,1,4.2
DePalma's Italian Cafe - Downtown,"American, Italian, Pizza",25,2,4.0
DePalma's Italian Cafe - East Side,"American, Italian, Pizza",25,2,4.1
Five & Ten,American,40,3,4.3
Grit,"International, Southern, Vegetarian",10,1,4.2
Ike & Jane,Sandwich,10,1,4.1
La Dolce Vita Ristorante,Italian,40,3,4.1
Shokitini,"Asian, Japanese, Sushi",25,2,4.2
Taqueria Del Sol,"Mexican, Spanish",10,1,4.1
The National,"International, Southern",40,3,4.1
The Royal Peasant,Bar Food,10,1,4.4
Transmetropolitan,"Italian, Pizza, Sandwich",10,1,4.4
Trappeze Pub,"Burger, Bar Food",25,2,4.2
Viva! Argentine Cuisine,"Desserts, Latin American, Argentine",10,1,4.1
Miyabi Kyoto Japanese Steak House,"Chinese, Steak",40,3,4.6
Rae's Coastal Cafe,"American, Caribbean, Seafood",40,3,4.9
The Bee's Knees,"International, Tapas, Vegetarian",25,2,4.5
Boll Weevil Cafe,"Desserts, Sandwich, Southern",10,1,3.9
Farmhaus Burger,"American, Burger",25,2,3.9
Manuel's Bread Cafe,"Breakfast, French",40,3,3.8
Sconyers Bar B Que,BBQ,25,2,3.5
Frog Hollow Tavern,American,40,3,4.3
Giuseppe's Pizza & Italian Specialities,"Desserts, Italian, Pizza",25,2,4.1
Mellow Mushroom,"Italian, Pizza, Sandwich",25,2,4.4
Nacho Mamas Burritos,Mexican,10,1,4.0
Rhinehart's Oyster Bar,"Bar Food, Sandwich, Seafood",25,2,4.0
Takosushi,"Mexican, Southwestern, Sushi",40,3,4.2
The Chop House,Steak,40,3,4.0
The Taj of India,Indian,25,2,4.0
Augsburg Haus,German,25,2,3.9
Pho Bac,Vietnamese,10,1,4.1
Rhinehart's Oyster Bar,"Burger, Seafood",25,2,4.0
Thai Kitchen,Thai,35,3,4.3
El Kiosco Mexican Restaurant,Mexican,10,1,4.2
Taste of Balingup,Modern Australian,20,2,3.2
Bridge Road Brewers,"Pizza, Bar Food",20,2,4.6
Bardenay,"American, Bar Food",25,2,4.5
Flatbread Neapolitan Pizzeria,"Italian, Pizza",25,2,4.6
Goldy's Breakfast Bistro,"Breakfast, Sandwich",25,2,4.5
Chandlers Steakhouse,"American, Seafood, Steak",70,4,3.9
Bar Gernika Basque Pub & Eatery,"European, Spanish",10,1,4.3
Barbacoa Restaurant,"Latin American, Steak",70,4,4.1
Big Jud's,"American, Burger, Sandwich",10,1,4.2
Bittercreek Ale House,"American, Bar Food",25,2,4.3
Boise Fry Company,"American, Burger",10,1,4.4
Flying Pie Pizzaria,Pizza,25,2,4.1
Fork,"American, Burger",25,2,4.4
Guido's Original New York Style Pizza,Pizza,10,1,4.3
Los Beto's,Mexican,10,1,4.4
Lucianos Italian Restaurant,"Italian, Seafood, Vegetarian",25,2,4.4
Mai Thai Restaurant,"Sushi, Thai",40,3,4.0
Shige Japanese Cuisine,"Japanese, Sushi, Teriyaki",25,2,4.1
The Egg Factory,Breakfast,10,1,4.3
Tucanos,Brazilian,40,3,4.0
Texas Roadhouse,"American, BBQ, Steak",25,2,4.0
Brick 29,American,40,3,4.4
Winifreds,"American, Mediterranean, Seafood",40,3,3.7
Biaggi's Ristorante Italiano,"Italian, Pizza",40,3,4.1
El Super Burrito,Mexican,10,1,4.1
Granite City Food & Brewery,"American, Breakfast, Burger",40,3,4.1
Irish Democrat,"American, BBQ, Burger",25,2,4.4
Taste of India,Indian,25,2,4.2
Thai Moon Restaurant,"Chinese, Sushi, Thai",10,1,4.2
Ting's Red Lantern,Chinese,10,1,4.2
Monica's,"American, Italian, Pizza",25,2,3.8
Exotic India,Indian,25,2,4.1
Shorts Burger and Shine,Burger,10,1,4.9
The Hamburg Inn No. 2 Inc.,"American, Breakfast, Burger",10,1,4.5
Bluebird Diner,"Breakfast, Diner",25,2,3.6
Graze,"American, International, Sushi",40,3,3.8
A & A Pagliai's Pizza,Pizza,25,2,4.3
Atlas World Grill,International,40,3,4.3
BlackStone,"American, Breakfast",25,2,4.1
Devotay,"Mediterranean, Tapas, Vegetarian",40,3,4.0
Jimmy Jack's Rib Shack,BBQ,25,2,4.2
Zoeys Pizzeria,"Pizza, Sandwich",25,2,4.7
Tokyo Sushi,"Japanese, Sushi",25,2,3.7
Berry Patch Restaurant,"American, Breakfast, Desserts",10,1,4.3
Sakura Sushi & Grill,"Asian, Japanese",25,2,3.1
Uptown Vietnam cuisine,"Asian, Vietnamese",10,1,3.3
Cafe Le Rue @ The Landings,"American, Seafood, Cajun",25,2,4.6
Mark's City Grille,American,25,2,4.5
B Merrell's,"Burger, Bar Food, Southern",25,2,3.8
Cannon Brewpub,"Pizza, Bar Food",25,2,3.9
Fuji Japanese Steak House,"Japanese, Steak",40,3,3.9
Ruth Ann's Family Restaurant,"Breakfast, Diner, Southern",10,1,3.7
Samurai Japanese Cuisine & Sushi Bar,"Japanese, Steak, Sushi",40,3,3.6
Wasabi Sushi and Thai,"Japanese, Sushi, Thai",40,3,3.7
Buckhead Bar and Grill,"Seafood, Steak, Vegetarian",40,3,4.2
Burt's Butcher Shoppe and Eatery,Steak,25,2,4.3
Chef Lee's Peking Restaurant,Chinese,25,2,4.0
Country's Barbecue,"BBQ, Southern",25,2,4.0
Deorio's,"Italian, Pizza",0,1,4.0
Mellow Mushroom,Pizza,25,2,4.1
Meritage,"American, Tapas",40,3,4.1
Mongo The Mongolian Fire Pit,"Asian, Chinese",10,1,4.2
The Black Cow,American,25,2,4.3
Wood Stone,"Italian, Mediterranean, Pizza",40,3,4.0
Hunter's Pub,"American, Seafood, Steak",40,3,4.4
Consort Restaurant,"Chinese, Canadian",25,2,3.0
Thatcher's Barbeque and Grill,"American, BBQ, Southern",25,2,3.7
Christian and Jake's Bistro,"Desserts, Sandwich",10,1,4.4
Dub's High on the Hog,BBQ,25,2,4.4
Sierra's Mexican Restaurant,"Mexican, Tex-Mex",10,1,3.9
Oakwood Cafe,"BBQ, Breakfast, Southern",10,1,4.9
Chili's Grill & Bar,American,25,2,3.8
Fuji Japanese Steakhouse,"Japanese, Sushi",40,3,3.8
Las Palmas,Mexican,10,1,3.8
Tony's Italian Restaurant & Pizza,Italian,25,2,3.7
Filling Station,"American, Burger",10,1,4.1
Five Guys Burgers and Fries,Fast Food,10,1,4.1
Los Pablos,Mexican,10,1,4.1
Kobe Hibachi & Sushi,"American, Japanese, Sushi",25,2,4.6
Soho Hibachi,Japanese,10,1,4.3
Thai Garden,Thai,25,2,4.2
Southern Bliss Bakery,"Desserts, Sandwich",10,1,3.7
Bailey's Bar-B-Que,BBQ,10,1,4.1
Farm To Fork,"American, Diner, Southern",10,1,4.3
Home Plate Grill,"American, BBQ, Southern",10,1,4.2
Pie Slingers Pizzeria,"Italian, Pizza",10,1,4.1
Olive Tree Cafe,"Indian, Mediterranean, Middle Eastern",25,2,4.6
"Red Ginger Sushi, Grill & Bar","Sushi, Teriyaki",40,3,4.5
Crust Stone Oven Pizza,"Burger, Pizza",25,2,3.9
Jimmy's Pancake House,"American, Breakfast, Greek",10,1,4.0
Trattoria Tiramisu,Italian,25,2,4.1
Prairie Grille at SteepleGate Inn,"American, Breakfast",25,2,3.4
Tantra Asian Bistro,Asian,25,2,4.9
Chick-fil-A,Fast Food,10,1,3.9
Duck City Bistro,"American, French",70,4,3.7
Frick's Tap,"American, Bar Food, BBQ",25,2,0.0
Los Agaves,Mexican,25,2,0.0
Azteca,Mexican,0,1,4.3
China Cafe,Chinese,25,2,4.0
Exotic Thai Restaurant,Thai,25,2,4.1
Front Street Brewery,American,10,1,4.3
Granite City Food & Brewery,American,25,2,4.0
Los Agaves,Mexican,25,2,4.1
Machine Shed Restaurant,American,25,2,4.1
Osaka,"Japanese, Sushi",40,3,4.2
Texas Roadhouse,"American, BBQ, Steak",25,2,4.2
Hickory Park,"BBQ, Burger, Desserts",25,2,4.5
The Cafe,"American, Coffee and Tea",25,2,4.9
Flying Mango,"BBQ, Caribbean, Cajun",40,3,4.5
Cool Basil,"Asian, Sushi, Thai",25,2,4.1
HuHot Mongolian Grill,"Asian, Chinese",25,2,4.0
Malo,"Latin American, Mexican",25,2,3.2
Centro,"Italian, Pizza",40,3,4.5
Fong's Pizza,"Chinese, Pizza",25,2,4.6
A Dong Restaurant,"Asian, Vegetarian, Vietnamese, Bubble Tea",10,1,4.4
Court Avenue Brewing Company,"American, Pizza, Bar Food",40,3,4.2
Django,French,40,3,4.3
Miyabi 9,"Japanese, Sushi",25,2,4.8
Zombie Burger + Drink Lab,"Burger, Desserts, Vegetarian",10,1,4.2
Tursi's Latin King,"American, Italian",70,4,4.1
Tsing Tsao South,Chinese,10,1,4.1
Bandit Burrito,"Breakfast, Mexican, Southwestern",10,1,4.0
Jethro's BBQ,"American, BBQ",25,2,4.3
The Machine Shed Restaurant,"American, Breakfast",25,2,3.8
Mi Patria,Latin American,25,2,4.0
Waterfront Seafood Market,"Seafood, Sushi",40,3,4.2
The Giggling Goat,"Coffee and Tea, Tea, Modern Australian",7,1,3.6
Burnt Toast Cafe,Breakfast,10,1,3.4
Catfish Charlie's,Seafood,25,2,3.3
Salsa's Mexican Restaurant,Mexican,10,1,3.4
Tony Roma's,"American, BBQ, Seafood",25,2,3.3
Vinny Vanucchi's,Italian,25,2,3.4
Champps Americana,"American, Burger, Sandwich",25,2,3.5
Fiesta Cancun,Mexican,10,1,3.6
Happy Joe's Pizza & Ice Cream,"Desserts, Pizza, Ice Cream",0,1,3.5
Houlihan's,"American, Burger",25,2,3.6
Ichiban Hibachi Steakhouse & Sushi Bar,"Japanese, Steak, Sushi",40,3,3.7
Kalmes Breaktime Bar & Grill,"American, Burger",25,2,3.6
L. May Eatery,"International, Pizza",40,3,3.8
Los Aztecas,Mexican,10,1,3.5
Manna Java World Cafe,"Breakfast, Pizza",10,1,3.5
Mario's Italian Restaurant,"American, Italian",25,2,3.6
Pepper Sprout Incorporated,American,40,3,3.6
Shot Tower Inn,"Italian, Pizza",25,2,3.6
Sunshine Family Restaurant,"American, Breakfast, Burger",10,1,3.5
Watershed Cafe,"American, Burger, Pizza, Cafe",25,2,3.7
Woodfire Grille,"American, Seafood, Steak",70,4,3.6
The Belle General,Cafe,20,2,4.1
Jehova es Mi Pastor Tacos y Burritos,Mexican,10,1,3.7
Flaxton Gardens,"Tea, Modern Australian",30,3,3.5
Bespoke Harvest,"Cafe, Australian",20,2,3.7
Houndstooth Grill & Tavern,"American, Sandwich, Seafood",25,2,4.4
Hawg Wild BBQ & Catfish House,"BBQ, Burger, Seafood",10,1,4.1
Bourbon Street Grille,"American, Burger, Cajun",25,2,3.8
Smokin Gold BBQ,BBQ,10,1,3.9
Hoka-Hoka Japanese Steak & Sushi,"Chinese, Japanese, Thai",10,1,4.4
Shenanigan's Irish Pub,"Bar Food, Seafood, Vegetarian",25,2,4.1
Fish Tales Lakeside Grille,Seafood,25,2,3.8
Antebellum,"American, Southern",40,3,4.3
Moonie's Texas Barbecue,"BBQ, Sandwich",10,1,4.1
Atlanta Highway Seafood Market,"Sandwich, Seafood, Cajun",25,2,4.9
Eat at Thai,Thai,10,1,4.6
Smoke House BBQ and Catering,BBQ,25,2,3.8
2 Dog,"American, European, Sandwich",25,2,4.2
Longstreet Cafe,Southern,10,1,4.3
Re-Cess,"American, Southern",25,2,4.2
Bodensee,German,40,3,3.8
Hofer's Bakery & Cafe,"German, Ice Cream",10,1,3.9
Troll Tavern,"Burger, German, Sandwich",25,2,2.2
The Nacoochee Village Tavern & Pizzeria,"Italian, Pizza, Sandwich",10,1,4.0
Blue Bean Love Cafe,"Cafe, Coffee and Tea, Modern Australian",20,2,3.8
La Trattoria of Lavandula,"Italian, Fusion, Cafe",7,1,3.8
5 Little Pigs,"Breakfast, Modern Australian",20,2,4.1
Beach Box Cafe,"Burger, Coffee and Tea, Modern Australian",7,1,3.7
Funkey Monkey,"Breakfast, Coffee and Tea",7,1,3.8
Burger Queen Drive In,"Burger, Desserts, Sandwich",10,1,3.6
Blue Orchid Thai Restaurant,Thai,25,2,4.5
Stillwater on Belmore,"Breakfast, Coffee and Tea",20,2,3.6
Mr.,Cafe,20,2,3.5
Emilio's Cuban Cafe,"Coffee and Tea, Cuban, Latin American",25,2,3.9
Ingleside Village Pizza,"Pizza, Sandwich",10,1,4.9
Jim Shaw's Seafood Grill & Bar,Seafood,25,2,4.6
Mandarin Chinese Restaurant,"Chinese, Thai",25,2,4.5
Rookery,"Burger, Desserts, Bar Food",25,2,4.5
Bonefish Grill,"American, Seafood",40,3,4.1
Downtown Grill,Steak,70,4,4.0
Greek Corner Deli,"Desserts, Greek, Sandwich",10,1,4.3
Natalia's,"European, Italian, Mediterranean",70,4,4.2
Papouli's Mediterranean Cafe & Market,"Greek, Mediterranean, Vegetarian",10,1,4.2
Benson's Steak and Sushi,"American, Chinese, Sushi",25,2,3.7
My Fathers Place,Italian,25,2,3.7
Sushi Thai Restaurant,"Japanese, Sushi, Thai",10,1,3.7
The Mellow Mushroom,"Pizza, Sandwich, Vegetarian",25,2,3.8
El Jalisciense Mexican Restaurant,Mexican,10,1,4.1
Greek Village,"American, Greek, Seafood",25,2,4.0
Martin's BBQ,BBQ,25,2,4.2
Thai Pepper,"Japanese, Sushi, Thai",10,1,4.0
Zen Japanese Steakhouse and Sushi Bar,"Japanese, Steak, Sushi",40,3,4.1
Star Buffet,Asian,20,2,2.9
Triangle Restaurant,"Breakfast, Burger",10,1,2.4
Three Anchors,"Bar Food, Modern Australian",30,3,3.8
Vince's Restaurant & Pizzeria,"Italian, Pizza",25,2,3.6
Poets Cafe,"Coffee and Tea, Modern Australian",30,3,2.4
The Artesian Restaurant,"American, International, Southwestern",40,3,3.6
Cev�_che Tapas Bar & Restaurant,"Spanish, Tapas",40,3,4.4
'Ohana,Hawaiian,45,3,4.5
Earl of Sandwich,"American, Sandwich, Salad",35,3,4.7
Raglan Road Irish Pub and Restaurant,Irish,50,4,4.3
Caf�� Tu Tu Tango,"New American, Tapas",40,3,4.6
Texas de Brazil,"Brazilian, Steak",100,4,4.6
Bahama Breeze Island Grille,Caribbean,45,3,4.3
Maggiano's Little Italy,Italian,50,4,4.4
Hawkers Asian Street Fare,"Asian, Thai",35,3,4.6
Tako Cheena by Pom Pom,"Asian, Latin American, Vegetarian",10,1,4.4
Seasons 52 Fresh Grill,American,60,4,4.4
Hollerbach's Willow Tree Caf��,German,40,3,4.8
Pom Pom's Teahouse and Sandwicheria,"American, Sandwich, Tea",25,2,4.9
Yellow Dog Eats,"American, BBQ, Sandwich",35,3,4.9
Tibby's New Orleans Kitchen,Cajun,25,2,4.7
The Coop,"Southern, Cajun, Soul Food",25,2,3.6
Bosphorous Turkish Cuisine,"Mediterranean, Turkish",40,3,4.2
Ethos Vegan Kitchen,"American, Breakfast, Vegetarian",25,2,4.4
The Ravenous Pig,Pub Food,40,3,4.4
Vivo Bar and Grill,"Mediterranean, Seafood",30,3,4.4
Pier 70,Modern Australian,120,4,2.6
DiVine,"Cafe, Coffee and Tea, Sandwich",20,2,3.4
Cactus Flower Cafe Navarre,"Mexican, Southwestern, Tex-Mex",25,2,4.2
McGuire's Irish Pub & Brewery,"Burger, Bar Food, Steak",40,3,4.9
New Yorker Deli & Pizzeria,"Italian, Pizza, Sandwich",10,1,4.6
Tu-Do Vietnamese Restaurant,"Asian, Vietnamese",10,1,4.5
Carrabba's Italian Grill,"Italian, Pizza, Seafood",40,3,3.7
Jaco's Bayfront Bar and Grille,Tapas,25,2,3.9
The Tin Cow,"Burger, Bar Food",25,2,3.7
Cactus Flower Cafe,"Latin American, Mexican, Southwestern",25,2,4.2
Dharma Blue,"Seafood, Sushi",40,3,4.1
Global Grill,"European, International, Tapas",40,3,4.4
Ichiban,"Japanese, Sushi",25,2,4.3
The Fish House,"American, Seafood, Sushi",40,3,4.0
Tuscan Oven,"Italian, Mediterranean, Pizza",25,2,4.1
Flounders Chowder House,Seafood,40,3,3.9
Hemingway's Island Grill,"Caribbean, Seafood, Steak",40,3,3.5
Native Cafe,"Breakfast, Burger",25,2,4.2
Peg Leg Pete's,"Burger, Sandwich, Seafood",40,3,4.4
The Grand Marlin,"Caribbean, Seafood",40,3,4.3
Original Georgios Authentic Greek Food,Greek,10,1,4.7
Fisherman's Corner,"Sandwich, Seafood, Cajun",40,3,4.4
Mad Cowes Cafe,"Breakfast, Coffee and Tea, Modern Australian",20,2,3.7
Rupes Burgers,"Burger, Fast Food",10,1,3.7
Texas Roadhouse,"American, BBQ, Steak",45,3,3.5
Riverwalk Cafe,"Asian, Thai",10,1,3.6
Royal Hotel,"Pizza, Bar Food",0,1,3.6
Buddy's Italian Restaurant,"Italian, Pizza, Sandwich",40,3,3.7
Butterburrs,"American, Breakfast",30,3,3.6
Chang Garden,Chinese,10,1,3.5
Fifth Street Bagelry,"Coffee and Tea, Sandwich",10,1,3.8
Goody's Deli,"Pizza, Sandwich",10,1,3.8
Grecian Key Restaurant,"American, Greek",25,2,3.7
Outer Limits Fun Zone,"Burger, Pizza, Sandwich",10,1,3.5
Portneuf Valley Brewing,"American, Pizza",25,2,3.7
Sandpiper Restaurant & Lounge,"American, Seafood, Steak",40,3,3.6
Senor Iguanas,Mexican,0,1,3.6
Sushi Family,"Asian, Sushi, Vegetarian",25,2,3.6
Taste of India Nepal,"Indian, International, Vegetarian",25,2,3.8
Thai Paradise,"Desserts, Thai",25,2,3.7
The Bridge,New American,40,3,3.6
Nosh Mahal,"Indian, Persian",25,2,0.0
El Herradero,Mexican,10,1,4.1
Barrett Junction Cafe,"American, BBQ, Burger",25,2,3.3
Blue Point Grill,Seafood,70,4,4.0
Giovanni's Shrimp Truck,Seafood,25,2,4.5
Kona Brewing Company,"American, Pizza, Bar Food",35,3,4.7
Coconuts Fish Cafe,Seafood,30,3,4.5
Kihei Caffe,"American, Hawaiian",10,1,4.5
Monkeypod Kitchen by Merriman,Burger,40,3,4.2
Sansei Seafood Restaurant & Sushi Bar,"Japanese, Seafood, Sushi",40,3,4.2
Star Noodle,Asian,10,1,4.6
Aloha Mixed Plate,"Asian, Breakfast, Hawaiian",10,1,4.2
Gazebo,"Breakfast, Burger",25,2,4.4
Hula Grill,"Hawaiian, Seafood, Steak",40,3,4.3
Kimo's,"Hawaiian, Seafood, Steak",40,3,4.3
Mama's Fish House,"Hawaiian, Seafood",70,4,4.9
Marukame Udon,Japanese,10,1,4.9
Yard House,"American, Asian, Burger",40,3,4.6
Lulu's Waikiki,American,25,2,3.9
Duke's Waikiki,"Hawaiian, Seafood, Steak",70,4,4.4
Eggs 'n Things,Breakfast,10,1,4.0
Roy's,"Asian, European, Seafood",70,4,4.2
Wailana Coffee House,"American, Breakfast, Hawaiian",25,2,4.2
The Lady & Sons,Southern,40,3,3.3
Green Truck Pub,Burger,40,3,4.7
Leopold's Ice Cream,"Desserts, Sandwich, Ice Cream",10,1,4.6
Mrs. Wilkes' Dining Room,"American, Southern",40,3,4.5
Zunzi's,"International, Mediterranean, Sandwich",25,2,4.5
Moon River Brewing Company,"American, Bar Food, Sandwich",25,2,3.7
Pirates' House Restaurant,"American, Seafood, Steak",40,3,3.8
B. Matthew's Eatery,"American, Breakfast",25,2,4.1
Crystal Beer Parlor,"American, Bar Food",25,2,4.4
Goose Feathers Cafe and Bakery,"Breakfast, Vegetarian",10,1,4.2
Henry's,"American, Breakfast",10,1,4.1
Huey's On The River,"Breakfast, Cajun",40,3,4.1
J. Christopher's,"Breakfast, Diner, Sandwich",25,2,4.3
Lulu's Chocolate Bar,"Coffee and Tea, Desserts",10,1,4.3
Rocks on the River,"Pizza, Seafood, Steak",70,4,4.0
SOHO South Cafe,"Cafe, Sandwich, Southern",25,2,4.3
The Olde Pink House,"American, Seafood, Southern",70,4,4.4
Vic's On The River,American,70,4,4.1
The Crab Shack,Seafood,40,3,3.8
Sky On 57,"Chinese, Continental, Singaporean",300,4,3.4
Cut By Wolfgang Puck,"American, Steak",270,4,4.0
Restaurant Andre,"French, Mediterranean, European",500,4,3.8
Potato Head Folk,American,80,4,3.1
Jaan,French,430,4,3.8
Rhubarb Le Restaurant,French,315,4,3.9
Al'frank Cookies,Bakery,20,2,4.2
Fratini La Trattoria,Italian,100,4,4.1
Boufe Boutique Cafe,"Italian, French, Bakery, Cafe",50,3,3.2
The Refinery Singapore,"American, Japanese, Singaporean",80,4,3.2
Chye Seng Huat Hardware,Cafe,40,3,3.7
Makansutra Gluttons Bay,"Singaporean, Chinese, Seafood, Malay, Indian",30,3,3.0
Colony,"Asian, Continental, Seafood",220,4,3.8
Summer Pavilion,"Chinese, Seafood, Cantonese, Dim Sum",300,4,3.9
The Lokal,"Singaporean, Australian, German",60,4,3.1
I Am,"Western, Fusion, Fast Food",60,4,3.2
Super Loco,"American, Mexican",95,4,3.2
Artistry,"American, Bakery, European, Burger, Fusion",50,3,3.8
Bitters & Love,Finger Food,40,3,3.9
Artichoke Cafe,"Cafe, Spanish, Turkish, Greek",75,4,3.2
Archie's Waeside,"Burger, Seafood, Steak",40,3,3.7
Bob Roe's Pizza,"American, Pizza, Bar Food",10,1,3.6
Da Kao Restaurant,"Asian, Vegetarian, Vietnamese",10,1,3.8
Famous Dave's,BBQ,10,1,3.6
Fuji Bay Japanese Restaurant,"Japanese, Sushi",40,3,3.7
HuHot Mongolian Grill,"Asian, Chinese",25,2,3.6
Hunan Palace,Chinese,25,2,3.8
Jerry's Pizza,Pizza,25,2,3.8
Jim's Burgers,Burger,10,1,3.7
Johnnie Mars,"American, Desserts, Diner",10,1,3.9
Miles Inn,American,10,1,3.7
Milwaukee Wiener House,"American, Fast Food",10,1,3.8
